Y,1,-1214696129,-194714603,589,-1741175384
Y,1,-1214696418,-194866906,589,-1745896777
Y,2,-1771695323,1676044412,-1889175896,589,1565099381
Y,2,-1771695612,1676044123,-1894049592,589,1414014805
Y,3,1249161727,1676044412,1676044412,-1937909001,589,54373126
Y,3,1249161438,1676044123,1676044123,-2089145880,589,-339002827
Y,3,-1056342527,715445709,1676044412,-217157194,589,1858071591
Y,3,-1056342816,715445420,1676044123,-368394073,589,1464695638
Y,3,563695538,715445709,715445709,463784724,589,1492434569
Y,3,563695249,715445420,715445420,312547845,589,1099058616
Y,3,714500802,1001388218,715445709,747215745,589,1688861628
Y,3,714500513,1001387929,715445420,595978866,589,1295485675
Y,3,-1960428429,1001388218,1001388218,1225380099,589,-667912582
Y,3,-1960428718,1001387929,1001387929,1074143220,589,-1061288535
Y,3,-1960428429,1159988036,1001388218,-1889640019,589,1550711568
Y,3,-1960428718,1159987747,1001387929,-2040876898,589,1157335615
Y,3,-1960428429,722992659,1001388218,1447499180,589,1922811633
Y,3,-1960428718,722992370,1001387929,1296262301,589,1529435680
Y,3,-1960428429,722992659,1159988036,-869742654,589,-1192208485
Y,3,-1960428718,722992370,1159987747,-1020979533,589,-1585584438
Y,3,-1960428429,722992659,722992659,761927651,589,2144930714
Y,3,-1960428718,722992370,722992370,610690772,589,1751554761
Y,3,-1960428429,1159988036,1159988036,88085443,589,-1564308550
Y,3,-1960428718,1159987747,1159987747,-63151436,589,-1957684503
Y,3,-1960428429,722992659,1159988036,-869742654,589,-1192208485
Y,3,-1960428429,1159988036,722992659,1719755748,589,1772830649
Y,3,-1960428718,1159987747,722992370,1568518869,589,1379454696
Y,3,-1960428429,722992659,722992659,761927651,589,2144930714
Y,3,-1960428429,1001388218,1159988036,-1091861735,589,512034596
Y,3,-1960428718,1001387929,1159987747,-1243098614,589,118658643
Y,3,-1960428429,1159988036,1159988036,88085443,589,-1564308550
Y,3,-1960428429,1001388218,722992659,539808570,589,-445793501
Y,3,-1960428718,1001387929,722992370,388571691,589,-839169454
Y,3,-1960428429,1159988036,722992659,1719755748,589,1772830649
Y,3,714500802,1159988036,715445709,1927162923,589,-387481518
Y,3,714500513,1159987747,715445420,1775926044,589,-780857471
Y,3,-1960428429,1159988036,1001388218,-1889640019,589,1550711568
Y,3,714500802,722992659,715445709,969334826,589,-15381453
Y,3,714500513,722992370,715445420,818097947,589,-408757406
Y,3,-1960428429,722992659,1001388218,1447499180,589,1922811633
Y,3,714500802,722992659,874045527,-1347907008,589,1164565725
Y,3,714500513,722992370,874045238,-1499143887,589,771189772
Y,3,-1960428429,722992659,1159988036,-869742654,589,-1192208485
Y,3,714500802,722992659,437050150,283763297,589,206737628
Y,3,714500513,722992370,437049861,132526418,589,-186638325
Y,3,-1960428429,722992659,722992659,761927651,589,2144930714
Y,3,714500802,1159988036,874045527,-390078911,589,792465660
Y,3,714500513,1159987747,874045238,-541315790,589,399089707
Y,3,-1960428429,1159988036,1159988036,88085443,589,-1564308550
Y,3,714500802,722992659,874045527,-1347907008,589,1164565725
Y,3,714500802,1159988036,437050150,1241591394,589,-165362437
Y,3,714500513,1159987747,437049861,1090354515,589,-558738390
Y,3,-1960428429,1159988036,722992659,1719755748,589,1772830649
Y,3,714500802,722992659,437050150,283763297,589,206737628
Y,3,714500802,1001388218,874045527,-1570026089,589,-1426158490
Y,3,714500513,1001387929,874045238,-1721262968,589,-1819534443
Y,3,-1960428429,1001388218,1159988036,-1091861735,589,512034596
Y,3,714500802,1159988036,874045527,-390078911,589,792465660
Y,3,714500802,1001388218,437050150,61644216,589,1910980709
Y,3,714500513,1001387929,437049861,-89592663,589,1517604756
Y,3,-1960428429,1001388218,722992659,539808570,589,-445793501
Y,3,714500802,1159988036,437050150,1241591394,589,-165362437
Y,3,563695538,874045527,715445709,1643731902,589,-583908577
Y,3,563695249,874045238,715445420,1492495023,589,-977284530
Y,3,714500802,1159988036,715445709,1927162923,589,-387481518
Y,3,563695538,437050150,715445709,685903805,589,-211808512
Y,3,563695249,437049861,715445420,534666926,589,-605184465
Y,3,714500802,722992659,715445709,969334826,589,-15381453
Y,3,563695538,437050150,874045527,-1631338029,589,968138666
Y,3,563695249,437049861,874045238,-1782574908,589,574762713
Y,3,714500802,722992659,874045527,-1347907008,589,1164565725
Y,3,563695538,437050150,437050150,332276,589,10310569
Y,3,563695249,437049861,437049861,-150904603,589,-383065384
Y,3,714500802,722992659,437050150,283763297,589,206737628
Y,3,563695538,874045527,874045527,-673509932,589,596038601
Y,3,563695249,874045238,874045238,-824746811,589,202662648
Y,3,714500802,1159988036,874045527,-390078911,589,792465660
Y,3,563695538,437050150,874045527,-1631338029,589,968138666
Y,3,563695538,874045527,437050150,958160373,589,-361789496
Y,3,563695249,874045238,437049861,806923494,589,-755165449
Y,3,714500802,1159988036,437050150,1241591394,589,-165362437
Y,3,563695538,437050150,437050150,332276,589,10310569
Y,3,563695538,715445709,874045527,-1853457110,589,-1622585549
Y,3,563695249,715445420,874045238,-2004693989,589,-2015961502
Y,3,714500802,1001388218,874045527,-1570026089,589,-1426158490
Y,3,563695538,874045527,874045527,-673509932,589,596038601
Y,3,563695538,715445709,437050150,-221786805,589,1714553650
Y,3,563695249,715445420,437049861,-373023684,589,1321177697
Y,3,714500802,1001388218,437050150,61644216,589,1910980709
Y,3,563695538,874045527,437050150,958160373,589,-361789496
Y,3,-1056342527,874045527,1676044412,962789984,589,-218271555
Y,3,-1056342816,874045238,1676044123,811553105,589,-611647508
Y,3,563695538,874045527,715445709,1643731902,589,-583908577
Y,3,-1056342527,437050150,1676044412,4961887,589,153828510
Y,3,-1056342816,437049861,1676044123,-146274992,589,-239547443
Y,3,563695538,437050150,715445709,685903805,589,-211808512
Y,3,-1056342527,437050150,1834644230,1982687349,589,1333775688
Y,3,-1056342816,437049861,1834643941,1831450470,589,940399735
Y,3,563695538,437050150,874045527,-1631338029,589,968138666
Y,3,-1056342527,437050150,1397648853,-680609642,589,375947591
Y,3,-1056342816,437049861,1397648564,-831846521,589,-17428362
Y,3,563695538,437050150,437050150,332276,589,10310569
Y,3,-1056342527,874045527,1834644230,-1354451850,589,961675623
Y,3,-1056342816,874045238,1834643941,-1505688729,589,568299670
Y,3,563695538,874045527,874045527,-673509932,589,596038601
Y,3,-1056342527,437050150,1834644230,1982687349,589,1333775688
Y,3,-1056342527,874045527,1397648853,277218455,589,3847526
Y,3,-1056342816,874045238,1397648564,125981576,589,-389528427
Y,3,563695538,874045527,437050150,958160373,589,-361789496
Y,3,-1056342527,437050150,1397648853,-680609642,589,375947591
Y,3,-1056342527,715445709,1834644230,1760568268,589,-1256948527
Y,3,-1056342816,715445420,1834643941,1609331389,589,-1650324480
Y,3,563695538,715445709,874045527,-1853457110,589,-1622585549
Y,3,-1056342527,874045527,1834644230,-1354451850,589,961675623
Y,3,-1056342527,715445709,1397648853,-902728723,589,2080190672
Y,3,-1056342816,715445420,1397648564,-1053965602,589,1686814719
Y,3,563695538,715445709,437050150,-221786805,589,1714553650
Y,3,-1056342527,874045527,1397648853,277218455,589,3847526
Y,3,1249161727,1834644230,1676044412,-757961823,589,-2021970020
Y,3,1249161438,1834643941,1676044123,-909198702,589,1879621323
Y,3,-1056342527,874045527,1676044412,962789984,589,-218271555
Y,3,1249161727,1397648853,1676044412,-1715789920,589,-1649869955
Y,3,1249161438,1397648564,1676044123,-1867026799,589,-2043245908
Y,3,-1056342527,437050150,1676044412,4961887,589,153828510
Y,3,1249161727,1397648853,1834644230,261935542,589,-469922777
Y,3,1249161438,1397648564,1834643941,110698663,589,-863298730
Y,3,-1056342527,437050150,1834644230,1982687349,589,1333775688
Y,3,1249161727,1397648853,1397648853,1893605847,589,-1427750874
Y,3,1249161438,1397648564,1397648564,1742368968,589,-1821126827
Y,3,-1056342527,437050150,1397648853,-680609642,589,375947591
Y,3,1249161727,1834644230,1834644230,1219763639,589,-842022842
Y,3,1249161438,1834643941,1834643941,1068526760,589,-1235398795
Y,3,-1056342527,874045527,1834644230,-1354451850,589,961675623
Y,3,1249161727,1397648853,1834644230,261935542,589,-469922777
Y,3,1249161727,1834644230,1397648853,-1443533352,589,-1799850939
Y,3,1249161438,1834643941,1397648564,-1594770231,589,2101740404
Y,3,-1056342527,874045527,1397648853,277218455,589,3847526
Y,3,1249161727,1397648853,1397648853,1893605847,589,-1427750874
Y,3,1249161727,1676044412,1834644230,39816461,589,1234320304
Y,3,1249161438,1676044123,1834643941,-111420418,589,840944351
Y,3,-1056342527,715445709,1834644230,1760568268,589,-1256948527
Y,3,1249161727,1834644230,1834644230,1219763639,589,-842022842
Y,3,1249161727,1676044412,1397648853,1671486766,589,276492207
Y,3,1249161438,1676044123,1397648564,1520249887,589,-116883746
Y,3,-1056342527,715445709,1397648853,-902728723,589,2080190672
Y,3,1249161727,1834644230,1397648853,-1443533352,589,-1799850939
Y,2,-1771695323,1834644230,88549566,589,-1549920737
Y,2,-1771695612,1834643941,83675870,589,-1701005313
Y,3,1249161727,1834644230,1676044412,-757961823,589,-2021970020
Y,2,-1771695323,1397648853,1720219871,589,1787218462
Y,2,-1771695612,1397648564,1715346175,589,1636133886
Y,3,1249161727,1397648853,1676044412,-1715789920,589,-1649869955